nom,extensions,min_joueurs,max_joueurs,temps_min,temps_max,statut
5 Cornichons,,2,6,25,25,
51st State,,1,4,60,90,
6 qui prend!,,2,10,45,45,
7 Wonders Duel,,2,2,30,60,Vendu
Abyss ,,2,4,45,45,
Ark Nova,,1,4,90,150,
Aztlán,,2,4,60,75,
Azul,,2,4,30,45,
Babel,,2,2,45,60,
Backgammon,,2,2,10,30,
Battleship,,2,2,15,30,
Battlestar Galactica,,3,6,120,180,Vendu
Blokus (1v1),,2,2,20,30,
Blokus (Trigon),,2,4,20,30,
Boggle,,2,6,30,30,
C'est pas Faux!,,3,10,20,20,
Can't Stop!,,2,4,15,15,
Canvas,,1,5,30,30,
Carcassonne,,2,5,30,45,
Catan,,3,6,75,75,
Catch Phrase!,,2,4,15,30,pas 3 joueurs
Chess & Reversi,,2,2,20,45,
ChessPlus,,2,2,15,60,
Citadelles,,2,8,30,60,
Civilization,,2,4,120,240,
Clank! (dans l'espace),,2,4,45,90,
Clue,,3,6,30,45,
Code Names Images,,2,8,15,15,
Coffee Rush,,2,4,30,30,
Colt Express,,2,6,40,40,
Conan,,2,5,180,240,Vendu
Cranium,,4,4,60,60,
Cribble,,2,4,30,45,
Critter Kitchen,,1,5,60,60,
Croc!,,3,6,20,20,
Crossfire,,5,10,3,5,
Cthulhu,,3,6,60,60,
Dames,,2,2,10,30,
Dead of Winter,,2,5,60,120,Vendu
Dés Pirates,,2,5,30,30,
Destinies,,1,3,240,360,
Dixit,,3,6,30,30,
Dodge Dice,,2,6,15,15,
Draftosaurus,,2,5,15,15,
Earth,,1,5,45,90,
Échec,,2,2,15,120,
Endless Winter,,1,4,60,120,
Everdell,Spirecrest,1,4,60,60,
Extinction,,1,5,75,75,
Fits,,1,4,30,45,à vendre
Flamecraft,,1,5,60,60,
Flamme Rouge,"Le Peleton, Météo",2,4,30,45,
Flash 8,,1,4,15,15,
Flesh and Blood,,2,2,30,35,
Flip-it,,2,3,15,15,
Galarapagos,,3,12,20,30,
Ganymede,,2,4,20,40,
Guess Who!,,2,2,15,20,
Halligalli,,2,4,15,15,
Hansa Teutonica,,3,5,120,240,Vendu
Harmonies,,1,4,30,30,
Hedbanz,,2,6,25,25,
Hi-Q,,1,1,5,10,
High Society,,3,5,30,45,
Huns,,2,4,45,45,
Hunt for the Ring,,2,5,90,105,
Intrigues à Venise,,3,5,60,60,
It's a Wonderful World,,1,5,45,45,
Jeu de Rébus,,2,10,15,25,
Joe Connaissant,,2,20,20,45,
Kaboodl,,2,6,20,20,
L'inspecteur Laflamme (Audet),,4,10,120,120,à vendre
La Chasse aux Fromages,,2,6,30,30,
La Chose,,4,12,15,60,
Labyrinthe,,2,4,20,30,
Le Fantôme de l'Opéra,,2,2,30,30,
Les Aventuriers du Rail (Europe),,2,5,30,60,
Les Bâtisseurs,,2,4,30,30,
Les Charlatans de Belcastel,,2,4,45,45,
Les Cités Perdues,,2,2,30,30,
Les Hauts Fourneaux,,2,4,45,45,
Love Letter,,2,6,15,30,
Make´n' Break,,2,4,30,30,à vendre
Mastermind,,2,2,15,20,
Mastermind (nouveau),,2,5,30,30,
Mexicain Train,,2,8,30,60,
Mille Bornes,,2,6,30,30,
Miss Poutine,,4,8,15,15,
Monopoly,,2,8,60,180,
Mysterium ,,2,7,45,45,
Mythic Battles,,2,4,45,45,
Naga Raja,,2,2,30,30,
Nidavellir,,2,5,45,45,
Ninja Camp,,2,4,30,30,
Non Merci,,3,5,20,20,
Offboard,,2,2,20,20,
Orléans Stories,,2,4,60,180,
Pandemic,,2,4,45,45,
Pari-Manie,,2,8,30,60,
Patchwork,,2,2,30,30,pret
Peaky Blinders,,2,4,180,240,Vendu
Pendulum,,1,5,60,90,
Photosynthesis,,2,4,45,60,
Pickomino,,2,7,20,30,
Play Nine,,2,6,20,60,
Poker,,2,10,60,120,
Presto,,3,20,20,20,
Probe,,2,4,20,30,
Puissance 4,,2,2,5,15,
Pyramido,,2,4,45,45,
Quartet,,2,4,15,15,
Race to the New Found Land,,2,4,60,90,emballé
Ricochet Robots,,1,100,30,30,
Roll'nBump,,2,6,20,30,
Root,Monde Souterrain,1,6,75,75,
Rumble in the House,,3,6,20,20,
Rummy,,2,4,30,45,
Scrabble,,2,4,30,90,
Sheriff of Nothingham,,3,6,60,60,
Skib-bo,,2,6,20,20,
Sleeping Gods (Distant Skies),,1,4,90,90,
Smallworld ,,2,5,40,80,
Smartrix,,2,7,20,30,
Solenia,,1,4,30,45,
Spirit Island,,1,4,90,120,
Splendor,,2,4,30,30,
Star Wars: The Clone Wars,,1,9,60,60,
Starcadia Quest ,Arrrmada,2,4,60,60,
Stay Cool,,3,7,25,25,
Stratego,,2,2,30,60,
Sub Terra,,1,6,60,60,
Survive the Island,,2,5,45,45,
Switch,,2,20,20,30,
Takenoko,,2,4,45,45,
Taupes Délire!,,2,6,15,15,
Tekhenu,,1,4,60,120,
Telestrations,,4,8,20,30,
Terraforming Mars,,1,5,90,120,
The Big Book of Madness,,2,5,60,90,
The Castles of Burgundy,,1,4,70,120,
The City,,2,5,30,30,
The Crew (planet nine),,3,5,20,20,
The Loop,,1,4,60,60,
The Mind,,2,4,20,20,
Tichu,,3,6,60,60,pas 5 joueurs
Time Bomb,,4,8,15,20,
Time´s Up!,,4,12,45,45,
Timeline ,,2,6,15,20,
Tiny Epic Quest,,1,4,60,60,
Tock,,2,4,20,60,
Tower of Logic,,1,1,30,30,Vendu
Traîtres à Bord,,3,8,20,20,
Trial of the Temples,,2,4,30,60,
Trouble,,2,4,15,20,
Troyes Dice,,1,10,30,30,
Tsukiji,,2,4,20,20,
Une Vie de Chien,,2,6,60,90,
Unlock! (Game Adventures),,1,6,60,60,
Uno,,2,10,10,30,
UpWords,,2,4,45,90,
Vaalbara,,2,5,25,30,
Villainous,,2,6,40,120,
Voleur de Mots,,2,4,30,60,
Vraiment Très Futé!,,1,4,30,30,à vendre
Wasabi,,2,6,20,20,
Welcome to the Dungeon,,3,4,30,30,
When I Dream,,4,10,30,30,
Wingspan,,1,5,60,60,
Wizard,,3,6,60,60,
Yellow & Yangtze,,2,4,90,90,Vendu
Zoom-in!,,2,8,30,30,à vendre
