JEUX de SOCIÉTÉ,Extension(s),Status,Nb de joueur(s),Nb gamer (max),Temps du jeu,Temps (max),Moyenne (/10),VINCENT,MARC,JULIE,AYMANE,William P,Nom3,nom4,"Inscrire les noms(5+), les formules Meilleurs/Pires Jeux se feront après."
5 Cornichons,,,2,6,25,25,,,,,,,,,
51st State,,,1,4,60,90,,,,,,,,,
6 qui prend!,,,,,,,,,,,,,,,
7 Wonders Duel,,,,,,,,,,,,,,,
Abyss ,,,,,,,"8,2","8,5",8,,8,,,,
Aztlán,,,2,6,60,75,,,,,,,,,
Azul,,,,,,,"9,7",10,9,10,,,,,
Babel,,,,,,,,,,,,,,,
Backgammon,,,,,,,"7,5",,"7,5",,,,,,
Battleship,,,,,,,"5,5",,"5,5",,,,,,
Battlestar Galactica,,,,,,,,,,,,,,,
Blokus (1v1),,,,,,,"5,5",,"5,5",,,,,,
Blokus (Trigon),,,,,,,"7,0",,7,,,,,,
Boggle,,,,,,,"5,0",,5,,,,,,
C'est pas Faux!,,,,,,,,,,,,,,,
Can't Stop!,,,,,,,,,,,,,,,
Carcassonne,,,,,,,"7,5","7,5",,,,,,,
Catan,,,,,,,"8,3",8,,,9,8,,,
Catch Phrase!,,,,,,,,,,,,,,,
Chess & Reversi,,,,,,,,,,,,,,,
ChessPlus,,,,,,,"8,5",,"8,5",,,,,,
Civilization,,,,,,,,,,,,,,,
Clank! (dans l'espace),,,,,,,,,,,,,,,
Clue,,,,,,,"6,8",,4,,,"9,5",,,
Code Names Images,,,,,,,"7,3",7,"7,5",7,"7,5",,,,
Coffee Rush,,,,,,,"9,3",9,9,10,,,,,
Colt Express,,,,,,,"7,5",8,,,7,,,,
Conan,,,,,,,,,,,,,,,
Cranium,,,,,,,,,,,,,,,
Croc!,,,,,,,,,,,,,,,
Crossfire,,,,,,,,,,,,,,,
Cthulhu,,,,,,,,,,,,,,,
Dead of Winter,,,,,,,,,,,,,,,
Dés Pirates,,,,,,,"5,5",,"5,5",,,,,,
Destinies,,,,,,,"8,5","9,5","7,5",,,,,,
Dixit,,,,,,,"6,5","7,5",4,,8,,,,
Dodge Dice,,,,,,,,,,,,,,,
Earth,,,,,,,,,,,,,,,
Échec,,,,,,,"8,5",,"8,5",,,,,,
Endless Winter,,,,,,,,,,,,,,,
Epic Quest,,,,,,,,,,,,,,,
Everdell,,,,,,,"8,6",9,"8,5",8,9,,,,
Fits,,à vendre,,,,,,,,,,,,,
Flamecraft,,,,,,,"8,8",9,"8,5",,,,,,
Flamme Rouge,"Le Peleton, Météo",,2,4,30,45,"7,5","7,5","7,5",,,,,,
Flash 8,,,,,,,"3,0",,3,,,,,,
Galarapagos,,,,,,,"7,0",7,,,7,,,,
Ganymede,,,,,,,,,,,,,,,
Guess Who!,,,,,,,,,,,,,,,
Halligalli,,,,,,,,,,,,,,,
Hansa Teutonica,,,,,,,,,,,,,,,
Harmonies,,,,,,,"8,8",10,"8,5",8,"8,5",,,,
Hedbanz,,,,,,,,,,,,,,,
Hi-Q,,,,,,,"2,0",,2,,,,,,
High Society,,,,,,,,,,,,,,,
Huns,,,,,,,,,,,,,,,
Hunt for the Ring,,,,,,,,,,,,,,,
Intrigues à Venise,,,,,,,"6,3",7,5,,7,,,,
It's a Wonderful World,,,,,,,,,,,,,,,
Jeu de Rébus,,,,,,,,,,,,,,,
Joe Connaissant,,,,,,,,,,,,,,,
Kaboodl,,,,,,,"6,0",,6,,,,,,
L'inspecteur Laflamme (Audet),,à vendre,,,,,,,,,,,,,
Labyrinthe,,,,,,,"5,0",,5,,,,,,
Le Fantôme de l'Opéra,,,,,,,,,,,,,,,
Les Aventuriers du Rail (Europe),,,,,,,"7,7",8,7,,8,,,,
Les Bâtisseurs,,,,,,,,,,,,,,,
Les Charlatans de Belcastel,,,,,,,"8,7",9,8,,9,,,,
Les Cités Perdues,,,,,,,,,,,,,,,
Les Hauts Fourneaux,,,,,,,,,,,,,,,
Love Letter,,,,,,,"9,1",9,"7,5",10,10,9,,,
Make´n' Break,,à vendre,,,,,,,,,,,,,
Mastermind,,,,,,,"5,0",,5,,,,,,
Mille Bornes,,,,,,,"5,0",,5,,,,,,
Miss Poutine,,,,,,,,,,,,,,,
Monopoly,,,,,,,"5,5",,"5,5",,,,,,
Mysterium ,,,,,,,,,,,,,,,
Mythic Battles,,,,,,,,,,,,,,,
Naga Raja,,,,,,,,,,,,,,,
Ninja Camp,,,,,,,,,,,,,,,
Non Merci,,,,,,,,,,,,,,,
Offboard,,,,,,,,,,,,,,,
Orléans Stories,,,,,,,,,,,,,,,
Pandemic,,,,,,,"6,0",8,5,,5,,,,
Pari-Marie,,,,,,,,,,,,,,,
Peaky Blinders,,à vendre,,,,,,,,,,,,,
Pendulum,,,,,,,,,,,,,,,
Photosynthesis,,,,,,,"8,0",8,8,8,,,,,
Pickomino,,,,,,,,,,,,,,,
Play Nine,,,,,,,,,,,,,,,
Presto,,,,,,,,,,,,,,,
Probe,,,,,,,,,,,,,,,
Puissance 4,,,,,,,"4,0",,4,,,,,,
Pyramido,,,,,,,"7,5","7,5","7,5",,,,,,
Quartet,,,,,,,,,,,,,,,
Race to the New Found Land,,,,,,,,,,,,,,,
Roll'nBump,,,,,,,,,,,,,,,
Rumble in the House,,,,,,,,,,,,,,,
Rummy,,,,,,,"5,5",,"5,5",,,,,,
Scrabble,,,,,,,"7,0",,7,,,,,,
Sheriff of Nothingham,,,,,,,"7,8",7,7,9,7,9,,,
Skib-bo,,,,,,,,,,,,,,,
Smallworld ,,,,,,,,,,,,,,,
Smartrix,,,,,,,,,,,,,,,
Solenia,,,,,,,,,,,,,,,
Splendor,,,,,,,"8,6",8,"8,5",10,8,,,,
Starcadia Quest ,,,,,,,,,,,,,,,
Stay Cool,,,,,,,"2,7",6,2,,,0,,,
Stratego,,,,,,,,,,,,,,,
Sub Terra,,,,,,,"7,5",9,,,6,,,,
Survive the Island,,,,,,,"8,3","8,5","8,5",8,,,,,
Switch,,,,,,,,,,,,,,,
Takenoko,,,,,,,"8,6","8,5","8,5",10,"7,5","8,5",,,
Taupes Délire!,,,,,,,,,,,,,,,
Tekhenu,,,,,,,,,,,,,,,
Telestrations,,,,,,,"7,0",,7,,,,,,
The Big Book of Madness,,,,,,,,,,,,,,,
The City,,,,,,,,,,,,,,,
The Crew (planet nine),,,,,,,,,,,,,,,
The Mind,,,2,4,20,,"8,0",,8,8,,,,,
Tichu,,,,,,,,,,,,,,,
Time Bomb,,,,,,,"9,0",9,,,,9,,,
Time´s Up!,,,,,,,,,,,,,,,
Timeline ,,,,,,,"6,0",,6,,,,,,
Tower of Logic,,Vendu,1,,,,,,,,,,,,
Trial of the Temples,,,,,,,,,,,,,,,
Trouble,,,,,,,"3,0",,3,,,,,,
Troyes Dice,,,,,,,,,,,,,,,
Tsukiji,,,,,,,,,,,,,,,
Une Vie de Chien,,,,,,,,,,,,,,,
Uno,,,,,,,"5,0",,5,,,,,,
UpWords,,,,,,,,,,,,,,,
Vaalbara,,,,,,,,,,,,,,,
Vaalbara,,,2,5,25,,"9,7",10,9,10,,,,,
Voleur de Mots,,,,,,,"3,0",,3,,,,,,
Vos,,,,,,,,,,,,,,,
Vraiment Très Futé!,,à vendre,,,,,"2,0",,2,,,,,,
Wasabi,,,,,,,,,,,,,,,
Welcome to the Dungeon,,,,,,,"6,8",7,"6,5",,,7,,,
When I Dream,,,,,,,,,,,,,,,
Wingspan,,,,,,,"8,8",10,8,8,,9,,,
Wizard,,,,,,,,,,,,,,,
Yellow & Yangtze,,,,,,,,,,,,,,,
Zoom-in!,,à vendre,,,,,"1,0",,1,,,,,,
Nidavellir,,,,,,,,,,,,,,,
